id,email,password,name,last_name,first_name,phone_number
1,gusxoqkqh1@naver.com,zx12345!,홍태경,hong,taegyeong,1026676497
2,01026676497@daum.net,zx12346@,홍길동,hong,gildong,1026676494
3,a0102667234@gmail.com,zx12347#,김난파,kim,nanpa,1066764454
4,fwfefw@naver.com,zx12348$,최수종,chei,sujoung,1026450447
5,hellweq@naver.com,zx12349%,유재석,wu,jeasuck,1026670107
6,fwefaa@naver.com,zx12350^,박수종,pack,sujoung,1026674004
7,fwefggew@naver.com,zx12351&,지누션,ji,nusion,1026620097
8,woowuu@naver.com,zx12352*,베토밴,bea,toben,1020410497
9,(bugbugw@naver.com,zx12353(,윤정수,youn,jungsu,1026640497
10,fwesdfw@naver.com,zx12354),김삿갓,kim,sasgot,1026101497
